Description,Designator,Footprint,Quantity,VALUE,Comment,LOAD,MFT,MPN,RATING,TYPE,DNP,Library Name

"","J1, J3, J4, J5, J11, J12, J13, J14","2pin 5mm Pitch","8","","","DNP","","","","","","Miscellaneous.IntLib"
"ACCELEROMETER 2-8G I2C/SPI 12LGA","U27","KX122-1037","1","KX122-1037","","","Kionix Inc.","KX122-1037","","SMD","","IC.IntLib"
"AUTOMOTIVE SCHOTTKY BARRIER DIOD","D6","SOD128","1","RBR2LAM60BTFTR","","","Rohm","RBR2LAM60BTFTR","60V 2A","SMD","","Diode.IntLib"
"CAP CER 0.015UF 25V X7R 0402","C32, C39","C0402","2","0.015µF","","","Murata Electronics North America","GRM155R71E153KA61D","25V","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 0.033UF 25V X7R 0402","C28, C35","C0402","2","0.033µF","","","Murata","GRM155R71E333KA88D","25V","Surface Mount","","Capacitor.IntLib"
"CAP CER 0.1UF 16V X7R 0402","C1, C2, C4, C5, C6, C8, C9.1, C9.2, C10.1, C10.2, C11.1, C11.2, C14, C18, C20, C21, C22, C23, C24, C25, C26, C45","C0402","22","0.1µF","","","Samsung Electro-Mechanics America, Inc.","CL05B104KO3LNNC","±10%, 16V","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 0.1UF 50V X7R 0805","C31, C38","C0805","2","0.1µF","","","Kemet","C0805C104K5RACTU","50V","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 0.1UF 100V X7R 0805","C47, C48","C0805","2","0.1µF","","","Murata Electronics North America","GCM21BR72A104KA37L","100V","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 1UF 25V X5R 0603","C34, C41","C0603","2","1µF","","","Murata Electronics North America","GRM188R61E105KA12D","25V","Surface Mount","","Capacitor.IntLib"
"CAP CER 2.2UF 35V X5R 0603","C29, C36","C0603","2","2.2uF","","","TDK Corporation","C1608X5R1V225K080AC","35V","SMD","","Capacitor.IntLib"
"CAP CER 10UF 6.3V X5R 0805","C12.1, C12.2","C0805","2","10µF","","","Murata Electronics North America","GRM219R60J106KE19D","6.3V","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 10UF 35V X7R 1210","C30, C37","C1210","2","10µF","","","Murata Electronics North America","GRM32ER7YA106KA12L","35V","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 47UF 10V X5R 1206","C33, C40","C1206","2","47µF","","","Murata Electronics North America","GRM31CR61A476KE15L","10V","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 1000PF 50V X7R 0402","C7","C0402","1","1000pF","","","Murata Electronics North America","GRM155R71H102KA01D","50V","SMD","","Capacitor.IntLib"
"CAP CER 2200PF 50V 10% X7R 0805","C13, C15, C19, C46, C49","C0805","5","2200pF","","","AVX Corporation","08055C222KAT2A","50V 10% X7R","Surface Mount, MLCC","","Capacitor.IntLib"
"CAP CER 2200PF 50V X7R 0603","C17","C0603","1","2200pF","","","KEMET","C0603C222K5RACTU","50V","SMD","","Capacitor.IntLib"
"CONN HEADER 2POS .100"" STR TIN","J6, J9","0901200122","2","0901200122","","","Molex, LLC","0901200122","","Through Hole","","Connector.IntLib"
"CONN HEADER 7POS .100 VERT TIN","J2.1, J2.2","0022284070","2","0022284070","","","Molex, LLC","0022284070","","TH","","Connector.IntLib"
"CONN PWR JACK 2.1X5.5MM HIGH CUR","J15","PJ-002AH","1","PJ-002AH","","","CUI Inc.","PJ-002AH","","TH","","Connector.IntLib"
"CONN RCPT .100"" 46POS DUAL GOLD","P3","2x23 Header Female","1","SSW-123-01-S-D","","","Samtec","SSW-123-01-S-D","","TH","","Connector.IntLib"
"CONN RCPT USB MINI B R/A SMD","P1","UX60SC-MB-5ST(80)","1","UX60SC-MB-5ST(80)","","","Hirose Electric Co Ltd","UX60SC-MB-5ST(80)","","SMD","","Connector.IntLib"
