,,,Project:,Wilamp DCU,,,,,,,,
,,,Document:,BILL OF MATERIALS (BOM),,,,,,,,
,,,Revision:,V1.0,,,,,,,,
,,,Prepared By:,Jbayalas,,,,,,,,
,,,Release Date:,5-Jan-19,,,,,,,,
,,,,,,,,,,,,
FUNCTION,QTY,REFDES,DESC,MPN,MFT,PACKAGE,VALUE,RATING,TYPE,LOAD,Library Name,
PIC,1,U27,ACCELEROMETER 2-8G I2C/SPI 12LGA,KX122-1037,Kionix Inc.,KX122-1037,KX122-1037,,SMD,,IC.IntLib,
PwrInFilter,1,D6,AUTOMOTIVE SCHOTTKY BARRIER DIOD,RBR2LAM60BTFTR,Rohm,SOD128,RBR2LAM60BTFTR,60V 2A,SMD,,Diode.IntLib,
3v3_dcdc,1,C32,CAP CER 0.015UF 25V X7R 0402,GRM155R71E153KA61D,Murata Electronics North America,C0402,0.015µF,25V,SMD,,Capacitor.IntLib,
5v_dcdc,1,C39,CAP CER 0.015UF 25V X7R 0402,GRM155R71E153KA61D,Murata Electronics North America,C0402,0.015µF,25V,SMD,,Capacitor.IntLib,
3v3_dcdc,1,C28,CAP CER 0.033UF 25V X7R 0402,GRM155R71E333KA88D,Murata,C0402,0.033µF,25V,SMD,,Capacitor.IntLib,
5v_dcdc,1,C35,CAP CER 0.033UF 25V X7R 0402,GRM155R71E333KA88D,Murata,C0402,0.033µF,25V,SMD,,Capacitor.IntLib,
PwrInFilter,2,"C47, C48",CAP CER 0.1UF 100V X7R 0805,GCM21BR72A104KA37L,Murata Electronics North America,C0805,0.1µF,100V,SMD,,Capacitor.IntLib,
BBB,4,"C1, C20, C21, C45",CAP CER 0.1UF 16V X7R 0402,CL05B104KO3LNNC,"Samsung Electro-Mechanics America, Inc.",C0402,0.1µF,"±10%, 16V",SMD,,Capacitor.IntLib,
CRYPTO,7,"C14, C18, C22, C23, C24, C25, C26",CAP CER 0.1UF 16V X7R 0402,CL05B104KO3LNNC,"Samsung Electro-Mechanics America, Inc.",C0402,0.1µF,"±10%, 16V",SMD,,Capacitor.IntLib,
PIC,5,"C2, C4, C5, C6, C8",CAP CER 0.1UF 16V X7R 0402,CL05B104KO3LNNC,"Samsung Electro-Mechanics America, Inc.",C0402,0.1µF,"±10%, 16V",SMD,,Capacitor.IntLib,
