Altium Designer Pick and Place Locations
C:\Users\Lorence\Documents\GitHub\Wilamp_DCU\mft\pca\Wilamp DCU_Pick Place\Wilamp DCU v2.0.txt

========================================================================================================================
File Design Information:

Date:       28/04/22
Time:       11:06
Revision:   bd87d3eeb93b9a7d7b0686c4ca0838f49699fcc3
Variant:    No variations
Units used: mm

Designator        Comment                Layer    Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                       
Y1.2              ABM8-32.000MHZ-9-D1G-T TopLayer XTAL_3225              78.6372      72.7834      90       "CRYSTAL 32.0000MHZ 9PF SMD"                                                      
Y1.1              ABM8-32.000MHZ-9-D1G-T TopLayer XTAL_3225              16.3705      73.9447      90       "CRYSTAL 32.0000MHZ 9PF SMD"                                                      
U19.2             SE2431L-R              TopLayer QFN_SE2431_28P         71.7977      84.6732      90       "IC RF FRONT END MOD 2.4GHZ 24QFN"                                                
U19.1             SE2431L-R              TopLayer QFN_SE2431_28P         9.5310       85.8345      90       "IC RF FRONT END MOD 2.4GHZ 24QFN"                                                
U14.2             74AHC1G32GW,125        TopLayer SC70_5                 77.2601      82.5782      360      "IC GATE OR 1CH 2-INP 5TSSOP"                                                     
U14.1             74AHC1G32GW,125        TopLayer SC70_5                 14.9934      83.7395      360      "IC GATE OR 1CH 2-INP 5TSSOP"                                                     
U11.2             74AHC1G32GW,125        TopLayer SC70_5                 77.2767      86.0010      360      "IC GATE OR 1CH 2-INP 5TSSOP"                                                     
U11.1             74AHC1G32GW,125        TopLayer SC70_5                 15.0100      87.1623      360      "IC GATE OR 1CH 2-INP 5TSSOP"                                                     
U7.2              JN5169/001Z            TopLayer QFN_JN5169_44P         72.5396      72.5349      180      "IC RF TXRX+MCU 802.15.4 40-VFQFN"                                                
U7.1              JN5169/001Z            TopLayer QFN_JN5169_44P         10.2729      73.6962      180      "IC RF TXRX+MCU 802.15.4 40-VFQFN"                                                
SH1.2             42-100017-01           TopLayer 42-100017-01(Shield)   73.7315      77.8243      270      Shield                                                                            
SH1.1             42-100017-01           TopLayer 42-100017-01(Shield)   11.4648      78.9857      270      Shield                                                                            
R68.2             RC0402FR-071K2L        TopLayer C0402_1                70.7003      81.4385      360      "RES SMD 1.2K OHM 1% 1/16W 0402"                                                  
R68.1             RC0402FR-071K2L        TopLayer C0402_1                8.4336       82.5998      360      "RES SMD 1.2K OHM 1% 1/16W 0402"                                                  
R67.2             RC0402FR-071K5L        TopLayer C0402_1                69.7955      82.3265      360      "RES SMD 1.5K OHM 1% 1/16W 0402"                                                  
R67.1             RC0402FR-071K5L        TopLayer C0402_1                7.5288       83.4878      360      "RES SMD 1.5K OHM 1% 1/16W 0402"                                                  
R66.2             RC0402FR-0747KL        TopLayer C0402_1                77.2016      88.1990      180      "RES SMD 47K OHM 1% 1/16W 0402"                                                   
R66.1             RC0402FR-0747KL        TopLayer C0402_1                14.9349      89.3603      180      "RES SMD 47K OHM 1% 1/16W 0402"                                                   
R65.2             RC0402FR-0743KL        TopLayer C0402_1                77.4325      78.9619      180      "RES SMD 43K OHM 1% 1/16W 0402"                                                   
R65.1             RC0402FR-0743KL        TopLayer C0402_1                15.1658      80.1232      180      "RES SMD 43K OHM 1% 1/16W 0402"                                                   
L7.2              LQP15MN2N7B02D         TopLayer C0402_1                72.1837      87.6389      270      "FIXED IND 2.7NH 220MA 300 MOHM"                                                  
L7.1              LQP15MN2N7B02D         TopLayer C0402_1                9.9170       88.8002      270      "FIXED IND 2.7NH 220MA 300 MOHM"                                                  
L6.2              LQP15MN5N1B02D         TopLayer C0402_1                73.9473      82.3022      360      "Inductor RF Chip ThFIXED IND 5.1NH 140MA 700 MOHM"                               
L6.1              LQP15MN5N1B02D         TopLayer C0402_1                11.6806      83.4635      360      "Inductor RF Chip ThFIXED IND 5.1NH 140MA 700 MOHM"                               
L5.2              LQP15MN4N3B02D         TopLayer C0402_1                71.8166      78.2360      180      "FIXED IND 4.3NH 160MA 600 MOHM"                                                  
